Société_de_facturation;Société_de_livraison;Code_avancement;Numéro_de_commande;Numéro_de_version;Date_accordée_au_client
01;01;C;C01/QES491;2020-11-25-07.58.03.250000;26/11/2020
01;01;C;C01/QES500;2020-11-25-07.58.03.471000;26/11/2020
01;01;C;C01/QES502;2020-11-25-07.58.03.581000;26/11/2020
01;01;C;C01/QES503;2020-11-25-07.58.03.680000;30/11/2020
01;01;C;C01/QES510;2020-11-25-07.58.03.736000;07/12/2020
01;01;C;C01/QES511;2020-11-25-07.58.03.790000;07/12/2020
01;01;C;C01/QES512;2020-11-25-07.58.03.851000;07/12/2020
01;01;C;C01/QES513;2020-11-25-07.58.03.895000;07/12/2020
01;01;C;C01/QES515;2020-11-25-07.58.04.008000;26/11/2020
01;01;C;C01/QES527;2020-11-25-07.58.04.116000;30/11/2020
01;01;C;C01/QES547;2020-11-25-07.58.04.206000;26/11/2020
01;01;C;C01/QES552;2020-11-25-07.58.04.362000;26/11/2020
01;01;M;C01/PUK583A;2020-11-25-08.01.20.137000;14/12/2020
01;01;M;C01/PYX115B;2020-11-25-08.01.21.229000;14/12/2020
01;01;M;C01/QCG822;2020-11-25-08.01.21.670000;30/11/2020
01;01;M;C01/QCK250;2020-11-25-08.01.21.783000;11/12/2020
01;01;M;C01/QCS680A;2020-11-25-08.01.21.912000;04/12/2020
01;01;M;C01/QCU291;2020-11-25-08.01.22.029000;20/11/2020
01;01;M;C01/QCX373;2020-11-25-08.01.22.395000;10/12/2020
01;01;M;C01/QDC788A;2020-11-25-08.01.22.484000;04/12/2020
01;01;M;C01/QDK176;2020-11-25-08.01.22.557000;04/12/2020
01;01;M;C01/QDN976;2020-11-25-08.01.22.633000;04/12/2020
01;01;M;C01/QDT263;2020-11-25-08.01.22.715000;11/12/2020
01;01;M;C01/QDU375;2020-11-25-08.01.22.891000;11/12/2020
01;01;M;C01/QDU873B;2020-11-25-08.01.22.951000;11/12/2020
01;01;M;C01/QDV529A;2020-11-25-08.01.23.017000;25/11/2020
01;01;M;C01/QDX042;2020-11-25-08.01.23.085000;11/12/2020
01;01;M;C01/QDY373B;2020-11-25-08.01.23.170000;11/12/2020
01;01;M;C01/QDY391A;2020-11-25-08.01.23.236000;11/12/2020
01;01;M;C01/QDZ496;2020-11-25-08.01.23.296000;11/12/2020
01;01;M;C01/QEA476;2020-11-25-08.01.23.445000;30/11/2020
01;01;M;C01/QEB232A;2020-11-25-08.01.23.516000;11/12/2020
01;01;M;C01/QEB424;2020-11-25-08.01.23.600000;25/11/2020
01;01;M;C01/QEB539;2020-11-25-08.01.23.660000;30/11/2020
01;01;M;C01/QEJ482;2020-11-25-08.01.23.774000;25/11/2020
01;01;M;C01/QEK418;2020-11-25-08.01.23.864000;26/11/2020
01;01;M;C01/QEK501;2020-11-25-08.01.23.937000;04/12/2020
01;01;M;C01/QEL834;2020-11-25-08.01.23.997000;07/12/2020
01;01;C;C01/QES556;2020-11-25-08.01.24.233000;26/11/2020
01;01;C;C01/QES561;2020-11-25-08.01.24.458000;26/11/2020
01;01;C;C01/QES562;2020-11-25-08.01.24.647000;26/11/2020
01;01;C;C01/QES569;2020-11-25-08.01.24.847000;30/11/2020
01;01;C;C01/QES575;2020-11-25-08.01.24.926000;26/11/2020
01;01;C;C01/QES592;2020-11-25-08.01.25.056000;26/11/2020
01;01;C;C01/QES592A;2020-11-25-08.01.25.138000;01/12/2020
01;01;C;C01/QES594;2020-11-25-08.01.25.275000;26/11/2020
01;01;C;C01/QES604;2020-11-25-08.01.25.814000;26/11/2020
01;01;M;C01/QEP260;2020-11-25-08.04.41.036000;21/01/2021
01;01;A;C01/QES563;2020-11-25-08.04.41.157000;07/12/2020
01;01;M;C01/QES602;2020-11-25-08.04.41.268000;26/11/2020
01;01;C;C01/QES624;2020-11-25-08.04.41.364000;30/11/2020
01;01;C;C01/QES627;2020-11-25-08.04.41.455000;26/11/2020
01;01;C;C01/QES644;2020-11-25-08.04.41.632000;26/11/2020
01;01;C;C01/QES648;2020-11-25-08.04.41.758000;26/11/2020
01;01;C;C01/QES652A;2020-11-25-08.04.41.881000;26/11/2020
01;01;C;C01/QES656;2020-11-25-08.04.41.977000;26/11/2020
01;01;C;C01/QES670;2020-11-25-08.04.42.041000;26/11/2020
01;01;C;C01/QES672;2020-11-25-08.04.42.102000;26/11/2020
01;01;C;C01/QES675;2020-11-25-08.04.42.184000;26/11/2020
01;01;M;C01/MDY619A;2020-11-25-08.07.57.604000;15/12/2020
